NMDEPT;NMLOKASI;NMGIAT;PAGU_DIPA;REALISASI;BLOKIR;TAHUN
MAJELIS PERMUSYAWARATAN RAKYAT (MPR);DKI JAKARTA;Pengelolaan Administrasi MPR dan Sekretariat Jenderal;17052241000;15307131473;0;2020
MAJELIS PERMUSYAWARATAN RAKYAT (MPR);DKI JAKARTA;Penyelenggaraan Kehumasan;3105694000;3028533993;0;2020
MAJELIS PERMUSYAWARATAN RAKYAT (MPR);DKI JAKARTA;Pengelolaan Administrasi Keuangan Sekretariat Jenderal;78899382000;64592430314;0;2020
MAJELIS PERMUSYAWARATAN RAKYAT (MPR);DKI JAKARTA;Dukungan Teknis dan Administrasi Persidangan MPR dan Alat Kelengkapannya;825010000;774292715;0;2020
MAJELIS PERMUSYAWARATAN RAKYAT (MPR);DKI JAKARTA;Pelaksanaan Tugas Kesekretariatan Pimpinan;2031628000;1669139250;0;2020
MAJELIS PERMUSYAWARATAN RAKYAT (MPR);DKI JAKARTA;Dukungan Pengkajian Kemajelisan;643910000;591719016;0;2020
MAJELIS PERMUSYAWARATAN RAKYAT (MPR);DKI JAKARTA;Pelaksanaan Tugas Pimpinan MPR;67475819000;52805347347;0;2020
MAJELIS PERMUSYAWARATAN RAKYAT (MPR);DKI JAKARTA;Pengelolaan Barang Milik Negara dan Sarana Prasarana Kantor;80869367000;78652622877;0;2020
MAJELIS PERMUSYAWARATAN RAKYAT (MPR);DKI JAKARTA;Pelaksanaan Kegiatan Publikasi/Peliputan;33383782000;31604367824;0;2020
MAJELIS PERMUSYAWARATAN RAKYAT (MPR);DKI JAKARTA;Pelaksanaan Sosialisasi Empat Pilar MPR;3,50001E+11;3,01308E+11;2205000000;2020
MAJELIS PERMUSYAWARATAN RAKYAT (MPR);DKI JAKARTA;Pengkajian Kemajelisan;83006433000;79496948137;0;2020
MAJELIS PERMUSYAWARATAN RAKYAT (MPR);DKI JAKARTA;Pengelolaan Administrasi Keuangan MPR;60180551000;51011107556;0;2020
MAJELIS PERMUSYAWARATAN RAKYAT (MPR);DKI JAKARTA;Penganggaran MPR;23037885000;21599062800;0;2020
MAJELIS PERMUSYAWARATAN RAKYAT (MPR);DKI JAKARTA;Pengelolaan Administrasi MPR dan Sekretariat Jenderal;0;0;0;2020
MAJELIS PERMUSYAWARATAN RAKYAT (MPR);DKI JAKARTA;Pengelolaan Administrasi Keuangan Sekretariat Jenderal;0;0;0;2020
MAJELIS PERMUSYAWARATAN RAKYAT (MPR);DKI JAKARTA;Pengelolaan Barang Milik Negara dan Sarana Prasarana Kantor;0;0;0;2020
DEWAN PERWAKILAN RAKYAT;DKI JAKARTA;Perencanaan dan Pengelolaan Keuangan DPD RI;0;0;0;2020
